,Country,HDI,Total Population (millions) 2015,Total Population (millions) 2030,Life expectancy,Gross national income (GNI) per capita,Inequality in income (%),Mean years of schooling,Mean years of schooling Female,Mean years of schooling Male,Inequality in education(%),Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015
33,Malta,0.856,0.400000006,0.400000006,80.7,29500.0,13.6,11.3,10.9,11.6,6.0,0.63,0.53,0.71,0.61
34,Qatar,0.856,2.2000000477,2.7999999523000003,78.3,129916.0,,9.8,10.9,9.5,,0.71,0.22,0.68,0.51
35,Poland,0.855,38.5999984741,37.2000007629,77.6,24117.0,17.4,11.9,11.9,12.0,5.4,0.97,0.56,0.62,0.74
36,Lithuania,0.848,2.9000000954000003,2.7000000476999997,73.5,26006.0,19.6,12.7,12.7,12.7,5.6,0.36,0.87,0.53,0.6
37,Chile,0.847,17.8999996185,20.2000007629,82.0,21665.0,35.5,9.9,9.8,10.0,8.2,0.84,0.75,0.65,0.76
38,Saudi Arabia,0.847,31.5,39.0999984741,74.4,51320.0,,9.6,9.0,10.0,,0.61,0.8,1.05,0.77
39,Slovakia,0.845,5.400000095399999,5.400000095399999,76.4,26764.0,11.4,12.2,12.0,12.3,1.4,0.34,0.83,0.39,0.54
40,Portugal,0.843,10.3000001907,9.8000001907,81.2,26104.0,20.4,8.9,8.9,8.9,5.9,0.97,0.45,0.59,0.68
41,United Arab Emirates,0.84,9.1999998093,11.0,77.1,66203.0,,9.5,10.6,8.7,,0.94,0.32,0.38,0.58
42,Hungary,0.836,9.8999996185,9.3000001907,75.3,23394.0,14.6,12.0,12.0,12.1,3.1,0.89,0.67,0.36,0.7
43,Latvia,0.83,2.0,1.7999999522999999,74.3,22589.0,20.3,11.7,12.0,11.6,3.8,0.35,1.07,0.49,0.67
44,Argentina,0.8270000000000001,43.4000015259,49.4000015259,76.5,20945.0,27.4,9.9,9.7,10.0,8.1,0.9,0.57,0.28,0.64
45,Croatia,0.8270000000000001,4.1999998093,4.0,77.5,20291.0,17.7,11.2,11.2,11.6,4.4,1.13,0.77,0.47,0.85
46,Bahrain,0.8240000000000001,1.3999999762,1.6000000238,76.7,37236.0,,9.4,9.4,9.4,,0.63,0.23,0.29,0.4
47,Montenegro,0.807,0.6000000238000001,0.6000000238000001,76.4,15410.0,13.6,11.3,10.7,12.0,7.4,,,0.38,
48,Russian Federation,0.804,143.5,138.6999969482,70.3,23286.0,17.7,12.0,12.0,12.1,2.2,-0.18,0.87,0.48,0.37
49,Romania,0.802,19.5,17.6000003815,74.8,19428.0,19.5,10.8,10.3,11.0,4.6,0.11,1.2,0.12,0.55
50,Kuwait,0.8,3.9000000954000003,5.0,74.5,76075.0,,7.3,7.4,6.9,,0.98,0.07,0.21,0.46
51,Belarus,0.7959999999999999,9.5,9.0,71.5,15629.0,9.7,12.0,11.9,12.1,3.7,,1.45,0.23,
52,Oman,0.7959999999999999,4.5,5.1999998093,77.0,34402.0,,8.1,7.7,8.5,,,1.25,-0.04,
53,Barbados,0.795,0.30000001190000003,0.30000001190000003,75.8,14952.0,,10.5,10.6,10.3,5.5,0.49,0.39,0.37,0.43
54,Uruguay,0.795,3.4000000954000003,3.5999999045999997,77.4,19148.0,26.2,8.6,8.8,8.3,10.4,0.7,0.5,0.37,0.55
55,Bulgaria,0.794,7.099999904600001,6.3000001907000005,74.3,16261.0,18.2,10.8,10.8,11.2,5.5,0.19,0.83,0.49,0.5
56,Kazakhstan,0.794,17.6000003815,20.1000003815,69.6,22093.0,12.7,11.7,11.7,11.7,5.9,-0.07,1.13,0.72,0.56
57,Bahamas,0.792,0.400000006,0.400000006,75.6,21565.0,,10.9,11.5,10.5,,,0.13,0.08,
58,Malaysia,0.789,30.2999992371,36.0999984741,74.9,24620.0,,10.1,10.0,10.8,,1.2,0.67,0.39,0.83
59,Palau,0.7879999999999999,0.0,0.0,72.9,13771.0,23.0,12.3,,,12.0,,0.38,0.47,
60,Panama,0.7879999999999999,3.9000000954000003,4.8000001907,77.8,19470.0,38.0,9.9,10.3,9.5,13.6,0.86,0.5,0.76,0.7
61,Antigua and Barbuda,0.7859999999999999,0.1000000015,0.1000000015,76.2,20907.0,,9.2,,,,,,0.08,
62,Seychelles,0.782,0.1000000015,0.1000000015,73.3,23886.0,,9.4,,,,,0.41,1.02,
63,Mauritius,0.7809999999999999,1.2999999523,1.2999999523,74.6,17948.0,19.8,9.1,8.8,9.5,13.2,0.83,1.05,0.89,0.93
64,Trinidad and Tobago,0.78,1.3999999762,1.3999999762,70.5,28049.0,21.9,10.9,10.8,11.0,6.6,0.65,0.79,0.16,0.61
65,Costa Rica,0.7759999999999999,4.8000001907,5.400000095399999,79.6,14006.0,34.1,8.7,8.7,8.7,12.4,0.82,0.61,0.64,0.7
66,Serbia,0.7759999999999999,8.8999996185,8.3000001907,75.0,12202.0,17.4,10.8,10.3,11.4,8.1,-0.07,0.65,0.5,0.33
67,Cuba,0.775,11.399999618499999,11.199999809300001,79.6,7455.0,,11.8,11.5,12.0,10.9,0.15,1.28,-0.13,0.55
